,invalid
!,5.10077610448
!!,4.12445124517
!!!,4.60913158883
!:,8.98266638735
!?,7.51859432519
#,5.76379056248
#1,7.10860432248
#18,9.51329463841
#1984,12.509026912
#1:,8.19153879843
#1rtごとにどうでもいい個人情報晒す,12.509026912
#2012worldseries,12.509026912
#20songsilove,9.0125193505
#2:,8.46597564413
#414,12.1035618039
#4lions,12.509026912
#4shure!!,invalid
#6/10,12.509026912
#a90sbabyknows,10.7172674427
#acc,10.3118023346
#aclockworkorange,12.509026912
#addfunny,11.1227325508
#adelaide,9.67581356791
#android,7.97642741882
#android!,10.7172674427
#androidgames,8.52934525807
#artfire,11.1227325508
#artstudentwoes,12.509026912
#asondeguerrajlg,12.509026912
#aubonpain--,12.509026912
#b,9.61865515407
#badsanta,12.509026912
#bclions,12.509026912
#beautiful,8.48367522123
#beliebersrespectdirectioners,11.8158797314
#believe,7.39103309955
#best_price,11.1227325508
#blackandorange,12.509026912
#blackshirt,12.509026912
#bleedorange,12.509026912
#blue,9.73643818973
#blueandredalltheway,12.509026912
#bored,7.70500586724
#bossorange,12.509026912
#brilliantidea,12.509026912
#broncos,9.41798445861
#brooch,11.8158797314
#burntorange,12.509026912
#butisitfuckorange,12.509026912
#buyfreerange,12.509026912
#buylocal,12.509026912
#buyorganic,12.509026912
#caledon,12.509026912
#calleorange,12.509026912
#camamarqué,12.509026912
#capuelecacaavecorange,12.509026912
#cd,11.4104146233
#champion,11.4104146233
#chocolateorange,12.509026912
#christmas,7.74685297717
#cloud,9.46450447425
#clubpierre,12.509026912
#clutch,9.33097308162
#codeorangerevival,12.509026912
#codeorangerevival!!,12.509026912
#cold-hearted.,12.509026912
#confashion,12.509026912
#confused,8.05467961572
#coventry,11.4104146233
#crystals,12.509026912
#cyndikrhi,12.509026912
#dayglo,12.509026912
#december2012,12.509026912
#deer,11.8158797314
#design,8.75952283604
#disneyworld,10.8995889995
#dodger,11.4104146233
#dontmindifido,11.4104146233
#earrings,11.1227325508
#eastside,10.7172674427
#eastvan,12.509026912
#elevation,11.8158797314
#fb,6.39534473214
#fifa,10.7172674427
#firstworldproblems,8.68038551548
#flowers,9.67581356791
#fordescape,12.509026912
#frankocean,10.3118023346
#free,7.11995518215
#freefood,11.8158797314
#froyo,11.8158797314
#fuckclemson,12.509026912
#fuckcups,12.509026912
#fuckingdumb,12.509026912
#fuellingchange.,12.509026912
#funnypicture,10.8995889995
#gameinsight,8.08674987467
#gemini,7.35573531747
#getglue,7.81767902974
#getyourgamefaceon,12.509026912
#gingers4lyfe,12.509026912
#gingersolutions,12.509026912
#goodshiz,12.509026912
#gorangers,12.509026912
#gorangersgo,12.509026912
#halloween,8.65887931026
#headlikeafuckingorange,12.509026912
#heaven,9.61865515407
#hehe,9.94407755451
#hellyes,10.206441819
#heyorange,12.509026912
#hilariousjokes,12.509026912
#hipsdontlie,11.8158797314
#hokies,11.4104146233
#homeopener,11.8158797314
#honey,11.8158797314
#html,10.5631167629
#hungguynation,12.509026912
#hunsreject,12.509026912
#idoidoidododo,12.509026912
#imissmomsfood,12.509026912
#indi,11.8158797314
#inorangepark,12.509026912
#instagram,8.59700390654
#instaphoto,10.4295853703
#instapic,10.5631167629
#internship,10.0241202622
#ipad,7.19582093293
#ipadgames ,8.03169009749
#isthe1”,12.509026912
#itsbright,12.509026912
#iwillloveyouforever,11.8158797314
#jewelry,8.84546526584
#jj,8.98266638735
#jj_forum,11.8158797314
#jobs,5.84334319419
#joke,9.37353269604
#justclowninaround,12.509026912
#kca,8.44858390142
#kidmin,11.8158797314
#kushnoj,12.509026912
#lavidaloca,12.509026912
#lemon,11.4104146233
#letsgorangers,12.509026912
#letsgorangers”,12.509026912
#letsgorays,12.509026912
#letsroll,11.8158797314
#light,10.4295853703
#louisville,10.3118023346
#love7,12.509026912
#loveatfirstbite,12.509026912
#lt,7.19090691812
#lyricsyouliketoscream,9.5645879328
#magicalassfruit,12.509026912
#magichour,12.509026912
#medicaljobs,12.509026912
#middleschoolmemories,8.65887931026
#modern,11.4104146233
#moped:,12.509026912
#mourning!,12.509026912
#mwc4xno1,12.509026912
#nature,9.10782953031
#ncc,12.509026912
#newbedon,7.51859432519
#nicovideo,8.87144075224
#nofilter,8.68038551548
#notagoodcombination,11.8158797314
#nowihavenosoul,12.509026912
#nowplaying:,8.84546526584
#np,4.85885821112
#nyr,10.206441819
#ohshit!,12.509026912
#on2thenext,12.509026912
#onacramervotrevice,12.509026912
#oompaloompa,12.509026912
#oops,8.20496181876
#opérateurblague,12.509026912
#orange,12.509026912
#orangebowl,12.509026912
#orangecaramels,invalid
#orangecarrot,12.509026912
#orangecounty,12.509026912
#orangefriday,12.509026912
#orangehairs,12.509026912
#orangeleaf,12.509026912
#orangeleafff,12.509026912
#orangeline,12.509026912
#orangeoctober,12.509026912
#orangepolo,12.509026912
#orangeville,12.509026912
#orangewednesday,12.509026912
#orangewednesdays,12.509026912
#orlpol,10.206441819
#osmaniye,12.509026912
#partybus,12.509026912
#partyrock,11.8158797314
